Frequency Result Magnitude
0 (-19970,0) 19970
3562 (-12149.3,3268.18) 12581.2
3578 (-11050,297.373) 11054
3593 (-13700.7,-158.086) 13701.7
3609 (-13506.5,-751.629) 13527.4
3625 (-13798.4,2646.4) 14049.9
3640 (-11069.4,2899.73) 11442.9
3656 (-11651.8,2044.71) 11829.9
3671 (-15315.8,808.564) 15337.1
3687 (-12411.5,1443.92) 12495.2
3703 (-12183.1,3039.66) 12556.6
3718 (-12179.2,1780.04) 12308.6
3734 (-13968.1,1742.36) 14076.4
3750 (-13577.9,500.693) 13587.2
3765 (-12813.6,1881.95) 12951.1
3781 (-12828.6,2579.92) 13085.5
3796 (-12166.2,540.503) 12178.2
3812 (-10629.9,-442.94) 10639.1
3828 (-13073.4,766.169) 13095.8
3843 (-12135.9,120.133) 12136.5
3859 (-10621.2,1483.49) 10724.3
3875 (-13630.8,634.088) 13645.5
3890 (-13070.3,371.323) 13075.5
3906 (-13830.4,-331.509) 13834.4
3921 (-15695.4,-516.234) 15703.9
3937 (-11839.2,1101.27) 11890.3
3953 (-11382.8,-672.229) 11402.6
3968 (-13241.8,-2208.83) 13424.8
3984 (-12275.6,1718.78) 12395.4
