Frequency Result Magnitude
0 (10749,0) 10749
3546 (-11620.3,2871.62) 11969.8
3562 (-12460.7,176.302) 12462
3578 (-13234.8,2771.79) 13522
3593 (-13245.9,-346.347) 13250.4
3609 (-11349.5,1544.16) 11454
3625 (-13403.4,1848.44) 13530.3
3640 (-10369.9,3110.85) 10826.4
3656 (-10383.7,1396.98) 10477.3
3671 (-11942.7,1628.86) 12053.3
3687 (-13649.6,-544.091) 13660.4
3703 (-10036.3,-532.586) 10050.5
3718 (-9596.97,2665.5) 9960.26
3734 (-12246.5,1647.47) 12356.8
3750 (-12810.9,2366.22) 13027.6
3765 (-10861.7,513.443) 10873.8
3781 (-13757.6,763.828) 13778.8
3796 (-13341.8,-667.483) 13358.5
3812 (-11306,10.0674) 11306
3828 (-11958.4,3087.39) 12350.5
3843 (-10143.1,-1255.12) 10220.5
3859 (-10929.1,2028.52) 11115.7
3875 (-13043.6,-2200.1) 13227.9
3890 (-12197.3,1978.42) 12356.7
3906 (-11190.7,2745.52) 11522.6
3921 (-12791.6,670.842) 12809.2
3937 (-12255.4,655.093) 12272.9
3953 (-9523.06,13.0109) 9523.07
3968 (-10655.2,-162.183) 10656.4
3984 (-12077.7,240.409) 12080.1
